id,first_name,last_name,email,gender,ip_address,cust_type
1,Lottie,Tompkin,ltompkin0@hatena.ne.jp,Male,158.213.96.124,1
2,Heath,Studde,hstudde1@pagesperso-orange.fr,Male,19.154.11.88,1
3,Frederic,Copestake,fcopestake2@businesswire.com,Male,22.192.2.181,3
4,Caldwell,Heigl,cheigl3@dion.ne.jp,Male,174.135.138.193,1
5,Dietrich,Hember,dhember4@twitpic.com,Male,63.119.157.219,2
6,Ricki,Dennert,rdennert5@weebly.com,Polygender,248.145.41.135,3
7,Heall,Moss,hmoss6@cisco.com,Genderfluid,144.12.195.238,2
8,Sascha,Linfield,slinfield7@businessinsider.com,Male,73.169.162.171,1
9,Paxon,Gaiter,pgaiter8@themeforest.net,Genderfluid,115.116.123.33,2
10,Margalit,Marqyes,mmarqyes9@wikia.com,Female,166.115.52.234,1
